         TOF        Yobs       sYobs       Ycalc
     3397.75    38021.00      425.00    38004.00
     3399.45    36934.00      415.00    37497.00
     3401.15    36843.00      418.00    37075.00
     3402.84    37006.00      415.00    36787.00
     3404.56    37094.00      416.00    36660.00
     3406.26    37665.00      423.00    36723.00
     3407.96    37180.00      416.00    36946.00
     3409.66    37803.00      424.00    37273.00
     3411.36    37732.00      420.00    37645.00
     3413.07    37615.00      419.00    37999.00
     3414.79    38193.00      422.00    38294.00
     3416.49    38259.00      427.00    38517.00
     3418.19    38120.00      422.00    38705.00
     3419.91    39089.00      428.00    38899.00
     3421.62    39259.00      429.00    39125.00
     3423.34    39676.00      431.00    39417.00
     3425.05    39995.00      433.00    39775.00
     3426.75    40655.00      440.00    40161.00
     3428.45    40992.00      438.00    40508.00
     3430.16    41092.00      439.00    40748.00
     3431.88    41031.00      439.00    40800.00
     3433.59    41581.00      442.00    40606.00
     3435.32    40453.00      432.00    40217.00
     3437.05    39816.00      432.00    39679.00
     3438.77    39336.00      429.00    39089.00
     3440.49    38998.00      428.00    38534.00
     3442.20    38451.00      425.00    38091.00
     3443.92    37679.00      420.00    37810.00
     3445.65    37270.00      414.00    37692.00
     3447.38    37614.00      420.00    37708.00
     3449.09    38825.00      427.00    37800.00
     3450.81    38514.00      425.00    37901.00
     3452.54    38183.00      420.00    37975.00
     3454.27    38772.00      427.00    38018.00
     3456.00    38905.00      424.00    38074.00
     3457.73    38416.00      425.00    38221.00
     3459.44    38641.00      426.00    38546.00
     3461.17    39826.00      429.00    39110.00
     3462.90    41028.00      440.00    39919.00
     3464.64    42061.00      442.00    40921.00
     3466.38    42971.00      446.00    42017.00
     3468.11    43869.00      455.00    43084.00
     3469.84    44572.00      455.00    44107.00
     3471.57    45512.00      464.00    45075.00
     3473.30    46541.00      465.00    46033.00
     3475.05    47922.00      473.00    47001.00
     3476.79    48202.00      474.00    47903.00
     3478.52    49221.00      483.00    48598.00
     3480.25    49551.00      481.00    48937.00
     3482.00    48312.00      475.00    48832.00
     3483.75    47958.00      473.00    48266.00
     3485.49    47311.00      470.00    47327.00
     3487.24    46594.00      466.00    46175.00
     3488.98    44758.00      457.00    44963.00
     3490.73    43848.00      452.00    43836.00
     3492.48    43241.00      449.00    42875.00
     3494.22    42146.00      443.00    42124.00
     3495.97    41611.00      440.00    41591.00
     3497.71    40715.00      435.00    41270.00
     3499.46    41453.00      440.00    41152.00
     3501.20    41460.00      440.00    41249.00
     3502.95    42101.00      443.00    41568.00
     3504.70    42150.00      444.00    42111.00
     3506.46    43745.00      448.00    42859.00
     3508.22    43783.00      452.00    43752.00
     3509.96    45704.00      463.00    44709.00
     3511.72    45655.00      458.00    45668.00
     3513.48    46636.00      468.00    46530.00
     3515.23    47350.00      471.00    47203.00
     3516.99    48185.00      472.00    47600.00
     3518.75    47805.00      474.00    47661.00
     3520.51    47412.00      468.00    47360.00
     3522.27    46700.00      468.00    46742.00
     3524.03    45913.00      460.00    45905.00
     3525.80    45260.00      461.00    44981.00
     3527.56    43464.00      448.00    44074.00
     3529.32    42749.00      448.00    43252.00
     3531.08    42538.00      443.00    42534.00
     3532.86    42260.00      441.00    41905.00
     3534.62    41428.00      441.00    41339.00
     3536.38    41491.00      437.00    40795.00
     3538.15    40698.00      433.00    40228.00
     3539.93    40239.00      431.00    39644.00
     3541.69    38998.00      428.00    39033.00
     3543.45    38947.00      424.00    38402.00
     3545.23    38393.00      421.00    37775.00
     3547.00    37576.00      416.00    37204.00
     3548.78    37417.00      415.00    36744.00
     3550.56    36882.00      412.00    36447.00
     3552.33    37023.00      413.00    36349.00
     3554.11    36569.00      411.00    36457.00
     3555.89    38126.00      420.00    36732.00
     3557.66    38330.00      421.00    37095.00
     3559.44    38456.00      422.00    37455.00
     3561.22    38532.00      422.00    37715.00
     3562.99    39301.00      427.00    37824.00
     3564.77    38864.00      424.00    37790.00
     3566.56    39016.00      422.00    37674.00
     3568.35    38466.00      422.00    37560.00
     3570.13    37880.00      419.00    37520.00
